"account_id";"account_currency";"exclude from invoice";"tap_code";"Tap name";"Discount (%)";"Markup (%)";"Account name";"Remove Discount for bill cycle";"Comments"
"230,220,505";"EUR";"YES";;;;"1";"IoT Solution Srl";;;
"185,996,206";"EUR";"YES";;;;"1";"IoT-Unlimited";;;
"117,518,906";"SEK";"YES";;;;"1";"IPS Alarm";;;
"229,978,505";"EUR";;;;"1";"1";"IVE Ventures BV.";;;
"157,605,605";"SEK";"YES";;;;"1";"Jagah Systems AB";;;
"231,247,305";"SEK";"YES";;;;"1";"Jämtkraft AB";;;
"186,523,306";"EUR";"YES";;;;"1";"Jibe Company BV";;;
"231,348,505";"SEK";"YES";;;;"1";"Jiricom AB";;;
"185,976,206";"EUR";"YES";;;;"1";"Kaskea Group Oy";;;
"222,930,505";"EUR";"YES";;;;"1";"K-Businesscom AG";;;
"156,658,405";"EUR";"YES";;;;"1";"Key Telematics";;;
"162,443,206";"EUR";"YES";;;;"1";"Klöckner DESMA Elastomertechnik GmbH";;;
"186,520,106";"EUR";"YES";;;;"1";"Koka Oy.";;;
"231,215,205";"EUR";"YES";;;;"1";"KonektSens BV";;;
"186,063,206";"EUR";"YES";;;;"1";"Kongsberg Maritime AS.";;;
"231,270,205";"SEK";"YES";;;;"1";"Kraftpojkarna Sverige AB";;;
"118,035,406";"EUR";"YES";;;;"1";"Latvenergo AS";;;
"186,005,606";"EUR";"YES";;;;"1";"Lekkerland BV";;;
"231,018,005";"EUR";;;;"1";"1";"Liikennevirta OY";;;
"231,106,605";"EUR";;;;"1";"1";"LJ Network Holding B.V.";;;
"135,876,406";"EUR";"YES";;;;"1";"LJC TELECOM";;;
"186,484,306";"SEK";"YES";;;;"1";"Lolo Company AB";;;
"231,041,905";"SEK";"YES";;;;"1";"Loomis Sverige AB";;;
"229,471,805";"EUR";"YES";;;;"1";"Loqus Fleet Ltd";;;
"116,783,906";"SEK";;;;"1";"1";"Luda.Farm AB";;;
"186,333,206";"EUR";"YES";;;;"1";"LUIS Technology GmbH";;;
"231,408,805";"SEK";"YES";;;;"1";"Lumit AB";;;
"186,376,906";"EUR";"YES";;;;"1";"LX Track d.o.o.";;;
